Team,Name,Position,Age
Arsenal,Joe Willock,MF,FW,19
Arsenal,Emiliano Martínez,GK,26
Arsenal,Eddie Nketiah,FW,20
Arsenal,Reiss Nelson,FW,19
Arsenal,Martinelli,FW,18
Arsenal,Rob Holding,DF,23
Arsenal,Nacho Monreal,DF,33
Arsenal,Cédric Soares,DF,27
Arsenal,Pablo Marí,DF,25
Arsenal,Henrikh Mkhitaryan,FW,30
Arsenal,Emile Smith-Rowe,MF,19
Arsenal,Tyreece John-Jules,FW,18
Arsenal,Matt Macey,GK,24
Arsenal,Konstantinos Mavropanos,DF,21
Arsenal,Zechariah Medley,DF,19
Arsenal,Matthew Smith,MF,18
Sheffield Utd,George Baldock,DF,26
Sheffield Utd,Enda Stevens,DF,29
Sheffield Utd,Chris Basham,DF,31
Sheffield Utd,Oliver Norwood,MF,28
Sheffield Utd,Dean Henderson,GK,22
Sheffield Utd,John Egan,DF,26
Sheffield Utd,Jack O'Connell,DF,25
Sheffield Utd,John Fleck,MF,27
Sheffield Utd,John Lundstram,MF,25
Sheffield Utd,Oliver McBurnie,FW,23
Sheffield Utd,David McGoldrick,FW,31
Sheffield Utd,Sander Berge,MF,21
Sheffield Utd,Lys Mousset,FW,23
Sheffield Utd,Billy Sharp,FW,33
Sheffield Utd,Callum Robinson,FW,24
Sheffield Utd,Ben Osborn,MF,DF,24
Sheffield Utd,Jack Robinson,DF,25
Sheffield Utd,Luke Freeman,MF,27
Sheffield Utd,Muhamed Bešić,MF,26
Sheffield Utd,Phil Jagielka,DF,36
Sheffield Utd,Simon Moore,GK,29
Sheffield Utd,Richairo Živković,FW,22
Sheffield Utd,Leon Clarke,FW,MF,34
Sheffield Utd,Jack Rodwell,MF,28
Sheffield Utd,Ravel Morrison,MF,26
Sheffield Utd,Kieron Freeman,FW,27
Sheffield Utd,Jake Eastwood,GK,22
Sheffield Utd,Panagiotis Retsos,DF,20
Sheffield Utd,Richard Stearman,DF,31
Sheffield Utd,Michael Verrips,GK,22
Burnley,Nick Pope,GK,27
Burnley,James Tarkowski,DF,26
Burnley,Dwight McNeil,MF,19
Burnley,Ashley Westwood,MF,29
Burnley,Ben Mee,DF,29
Burnley,Jack Cork,MF,30
Burnley,Chris Wood,FW,27
Burnley,Charlie Taylor,DF,25
Burnley,Jeff Hendrick,MF,27
Burnley,Phil Bardsley,DF,34
Burnley,Erik Pieters,DF,MF,30
Burnley,Jay Rodriguez,FW,30
Burnley,Matthew Lowton,DF,30
Burnley,Ashley Barnes,FW,29
Burnley,Josh Brownhill,MF,23
Burnley,Matěj Vydra,FW,27
Burnley,Jóhann Berg Guðmundsson,MF,28
Burnley,Kevin Long,DF,28
Burnley,Robbie Brady,MF,27
Burnley,Aaron Lennon,MF,32
Burnley,Danny Drinkwater,MF,29
Burnley,Max Thompson,FW,17
Burnley,Josh Benson,MF,19
Burnley,Anthony Driscoll-Glennon,DF,19
Burnley,Jimmy Dunne,DF,21
Burnley,Ben Gibson,DF,26
Burnley,Mace Goodridge,MF,19
Burnley,Joe Hart,GK,32
Burnley,Lukas Jensen,GK,
Burnley,Ali Koiki,DF,18
Burnley,Joel Mumbongo,FW,20
Burnley,Bailey Peacock-Farrell,GK,22
Burnley,Bobby Thomas,DF,
Southampton,James Ward-Prowse,MF,DF,24
Southampton,Jan Bednarek,DF,23
Southampton,Danny Ings,FW,27
Southampton,Nathan Redmond,MF,FW,25
Southampton,Ryan Bertrand,DF,29
Southampton,Pierre Højbjerg,MF,23
Southampton,Alex McCarthy,GK,29
Southampton,Jack Stephens,DF,25
Southampton,Oriol Romeu,MF,27
Southampton,Stuart Armstrong,MF,27
Southampton,Jannik Vestergaard,DF,26
Southampton,Cédric Soares,DF,27
Southampton,Shane Long,FW,32
Southampton,Che Adams,FW,23
Southampton,Moussa Djenepo,MF,DF,21
Southampton,Angus Gunn,GK,23
Southampton,Yan Valery,DF,20
Southampton,Sofiane Boufal,MF,FW,25
Southampton,Michael Obafemi,FW,19
Southampton,Kyle Walker-Peters,DF,22
Southampton,Maya Yoshida,DF,30
Southampton,William Smallbone,MF,19
Southampton,Kevin Danso,DF,20
Southampton,Jake Vokins,DF,19
Southampton,Nathan Tella,FW,20
Southampton,Will Ferry,MF,17
Southampton,Fraser Forster,GK,31
Southampton,Alexandre Jankewitz,MF,17
Southampton,Harry Lewis,GK,21
Southampton,Jacob Maddox,MF,20
Southampton,Dan Nlundulu,FW,20
Everton,Jordan Pickford,GK,25
Everton,Richarlison,FW,22
Everton,Lucas Digne,DF,26
Everton,Dominic Calvert-Lewin,FW,22
Everton,Gylfi Sigurðsson,MF,29
Everton,Michael Keane,DF,26
Everton,Yerry Mina,DF,24
Everton,Mason Holgate,DF,22
Everton,Tom Davies,MF,21
Everton,Séamus Coleman,DF,30
Everton,Alex Iwobi,MF,FW,23
Everton,Djibril Sidibé,DF,27
Everton,André Gomes,MF,26
Everton,Theo Walcott,MF,FW,30
Everton,Bernard,MF,FW,26
Everton,Fabian Delph,MF,29
Everton,Morgan Schneiderlin,MF,29
Everton,Moise Kean,FW,19
Everton,Anthony Gordon,MF,FW,18
Everton,Leighton Baines,DF,34
Everton,Jarrad Branthwaite,DF,17
Everton,Cenk Tosun,FW,28
Everton,Jean-Philippe Gbamin,MF,23
Everton,Oumar Niasse,FW,29
Everton,Beni Baningime,MF,20
Everton,Lewis Gibson,DF,19
Everton,Jonas Lössl,GK,30
Everton,Cuco Martina,DF,MF,29
Everton,Ellis Simms,FW,18
Everton,Maarten Stekelenburg,GK,36
Everton,João Virgínia,GK,19
Newcastle Utd,Martin Dúbravka,GK,30
Newcastle Utd,Miguel Almirón,MF,FW,25
Newcastle Utd,Joelinton,FW,22
Newcastle Utd,Federico Fernández,DF,30
Newcastle Utd,Isaac Hayden,MF,24
Newcastle Utd,Jonjo Shelvey,MF,27
Newcastle Utd,Jamaal Lascelles,DF,25
Newcastle Utd,Allan Saint-Maximin,MF,FW,22
Newcastle Utd,Fabian Schär,DF,MF,27
Newcastle Utd,Javier Manquillo,DF,25
Newcastle Utd,Jetro Willems,DF,25
Newcastle Utd,Sean Longstaff,MF,21
Newcastle Utd,Matt Ritchie,DF,MF,29
Newcastle Utd,Paul Dummett,DF,27
Newcastle Utd,Ciaran Clark,DF,29
Newcastle Utd,Emil Krafth,DF,24
Newcastle Utd,DeAndre Yedlin,DF,26
Newcastle Utd,Danny Rose,DF,29
Newcastle Utd,Dwight Gayle,FW,28
Newcastle Utd,Nabil Bentaleb,MF,24
Newcastle Utd,Christian Atsu,FW,MF,27
Newcastle Utd,Matthew Longstaff,MF,19
Newcastle Utd,Andy Carroll,FW,30
Newcastle Utd,Valentino Lazaro,DF,MF,23
Newcastle Utd,Florian Lejeune,DF,28
Newcastle Utd,Yoshinori Mutō,FW,MF,27
Newcastle Utd,Ki Sung-yueng,MF,30
Newcastle Utd,Kelland Watts,DF,19
Newcastle Utd,Thomas Allan,MF,19
Newcastle Utd,Karl Darlow,GK,28
Newcastle Utd,Rob Elliot,GK,33
Newcastle Utd,Liam Gibson,DF,22
Newcastle Utd,Jack Young,MF,18
Crystal Palace,Wilfried Zaha,MF,FW,26
Crystal Palace,Jordan Ayew,FW,MF,27
Crystal Palace,James McArthur,MF,31
Crystal Palace,Vicente Guaita,GK,32
Crystal Palace,Cheikhou Kouyaté,MF,DF,29
Crystal Palace,Patrick van Aanholt,DF,28
Crystal Palace,Luka Milivojević,MF,28
Crystal Palace,Joel Ward,DF,29
Crystal Palace,Gary Cahill,DF,33
Crystal Palace,James Tomkins,DF,30
Crystal Palace,Martin Kelly,DF,29
Crystal Palace,James McCarthy,MF,28
Crystal Palace,Andros Townsend,MF,28
Crystal Palace,Scott Dann,DF,32
Crystal Palace,Christian Benteke,FW,28
Crystal Palace,Jeffrey Schlupp,MF,DF,26
Crystal Palace,Mamadou Sakho,DF,29
Crystal Palace,Jaïro Riedewald,DF,MF,22
Crystal Palace,Max Meyer,MF,FW,23
Crystal Palace,Wayne Hennessey,GK,32
Crystal Palace,Tyrick Mitchell,DF,19
Crystal Palace,Cenk Tosun,FW,28
Crystal Palace,Connor Wickham,FW,MF,26
Crystal Palace,Brandon Pierrick,MF,17
Crystal Palace,Víctor Camarasa,MF,25
Crystal Palace,James Daly,FW,19
Crystal Palace,John-Kymani Gordon,FW,16
Crystal Palace,Stephen Henderson,GK,31
Crystal Palace,Nya Kirby,MF,19
Crystal Palace,Giovanni McGregor,MF,20
Crystal Palace,Nikola Tavares,DF,20
Crystal Palace,Sam Woods,DF,20
Brighton,Mathew Ryan,GK,27
Brighton,Lewis Dunk,DF,27
Brighton,Dan Burn,DF,27
Brighton,Davy Pröpper,MF,27
Brighton,Adam Webster,DF,24
Brighton,Neal Maupay,FW,22
Brighton,Dale Stephens,MF,30
Brighton,Aaron Mooy,MF,FW,28
Brighton,Martín Montoya,DF,28
Brighton,Leandro Trossard,FW,MF,24
Brighton,Pascal Groß,FW,MF,28
Brighton,Yves Bissouma,MF,22
Brighton,Aaron Connolly,FW,19
Brighton,Shane Duffy,DF,27
Brighton,Steven Alzate,MF,DF,20
Brighton,Solly March,DF,FW,25
Brighton,Glenn Murray,FW,35
Brighton,Bernardo,DF,24
Brighton,Tariq Lamptey,DF,18
Brighton,Ezequiel Schelotto,DF,30
Brighton,Alexis Mac Allister,MF,FW,20
Brighton,Alireza Jahanbakhsh,FW,MF,25
Brighton,Jürgen Locadia,MF,FW,25
Brighton,Florin Andone,MF,FW,26
Brighton,Gaëtan Bong,MF,DF,31
Brighton,Leon Balogun,DF,31
Brighton,Tudor Băluță,DF,MF,20
Brighton,David Button,GK,30
Brighton,Alexander Cochrane,DF,
West Ham,Declan Rice,MF,20
West Ham,Mark Noble,MF,32
West Ham,Angelo Ogbonna,DF,31
West Ham,Issa Diop,DF,22
West Ham,Aaron Cresswell,DF,29
West Ham,Ryan Fredericks,DF,26
West Ham,Łukasz Fabiański,GK,34
West Ham,Sébastien Haller,FW,25
West Ham,Pablo Fornals,MF,FW,23
West Ham,Felipe Anderson,MF,FW,26
West Ham,Michail Antonio,FW,29
West Ham,Robert Snodgrass,MF,FW,31
West Ham,Manuel Lanzini,MF,FW,26
West Ham,Fabián Balbuena,DF,27
West Ham,Tomáš Souček,MF,24
West Ham,Jarrod Bowen,FW,22
West Ham,Andriy Yarmolenko,MF,FW,29
West Ham,Arthur Masuaku,DF,25
West Ham,Roberto,GK,33
West Ham,Pablo Zabaleta,DF,34
West Ham,Jeremy Ngakia,DF,18
West Ham,David Martin,GK,33
West Ham,Ben Johnson,DF,19
West Ham,Jack Wilshere,MF,27
West Ham,Darren Randolph,GK,32
